"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1VTCH0047","SOUTH BURLINGTON 2.6 SSW, VT US","44.422105","-73.191145","111.9","2019-08-11",,,,,"1.5",",,N",,,,,,,,
"US1VTCH0047","SOUTH BURLINGTON 2.6 SSW, VT US","44.422105","-73.191145","111.9","2019-08-12",,,,,"0.0",",,N",,,,,,,,
"US1VTCH0047","SOUTH BURLINGTON 2.6 SSW, VT US","44.422105","-73.191145","111.9","2019-08-13",,,,,"0.0",",,N",,,,,,,,
"US1VTCH0047","SOUTH BURLINGTON 2.6 SSW, VT US","44.422105","-73.191145","111.9","2019-08-14",,,,,"0.0",",,N",,,,,,,,
"US1VTCH0047","SOUTH BURLINGTON 2.6 SSW, VT US","44.422105","-73.191145","111.9","2019-08-15",,,,,"0.0",",,N",,,,,,,,
"US1VTCH0047","SOUTH BURLINGTON 2.6 SSW, VT US","44.422105","-73.191145","111.9","2019-08-16",,,,,"0.5",",,N",,,,,,,,
"US1VTCH0047","SOUTH BURLINGTON 2.6 SSW, VT US","44.422105","-73.191145","111.9","2019-08-17",,,,,"0.8",",,N",,,,,,,,
"US1VTCH0047","SOUTH BURLINGTON 2.6 SSW, VT US","44.422105","-73.191145","111.9","2019-08-18",,,,,"4.6",",,N",,,,,,,,
"US1VTCH0047","SOUTH BURLINGTON 2.6 SSW, VT US","44.422105","-73.191145","111.9","2019-08-19",,,,,"0.0","T,,N",,,,,,,,
"US1VTCH0047","SOUTH BURLINGTON 2.6 SSW, VT US","44.422105","-73.191145","111.9","2019-08-20",,,,,"0.3",",,N",,,,,,,,
"US1VTCH0047","SOUTH BURLINGTON 2.6 SSW, VT US","44.422105","-73.191145","111.9","2019-08-21",,,,,"0.0",",,N",,,,,,,,
"US1VTCH0047","SOUTH BURLINGTON 2.6 SSW, VT US","44.422105","-73.191145","111.9","2019-08-22",,,,,"13.7",",,N",,,,,,,,
"US1VTCH0047","SOUTH BURLINGTON 2.6 SSW, VT US","44.422105","-73.191145","111.9","2019-08-23",,,,,"0.0",",,N",,,,,,,,
"US1VTCH0047","SOUTH BURLINGTON 2.6 SSW, VT US","44.422105","-73.191145","111.9","2019-08-24",,,,,"0.0",",,N","0.0",",,N",,,,,,
"US1VTCH0047","SOUTH BURLINGTON 2.6 SSW, VT US","44.422105","-73.191145","111.9","2019-08-25",,,,,"0.0",",,N",,,,,,,,
"US1VTCH0047","SOUTH BURLINGTON 2.6 SSW, VT US","44.422105","-73.191145","111.9","2019-08-26",,,,,"0.0",",,N",,,,,,,,
"US1VTCH0047","SOUTH BURLINGTON 2.6 SSW, VT US","44.422105","-73.191145","111.9","2019-08-27",,,,,"0.0",",,N",,,,,,,,
"US1VTCH0047","SOUTH BURLINGTON 2.6 SSW, VT US","44.422105","-73.191145","111.9","2019-08-28",,,,,"0.0",",,N",,,,,,,,
"US1VTCH0047","SOUTH BURLINGTON 2.6 SSW, VT US","44.422105","-73.191145","111.9","2019-08-29",,,,,"9.9",",,N",,,,,,,,
